"ID","Name","Category","Location","Rating","Reviews","GBP Claimed","Website Status","Website Url","HTTPS Redirect","SSL Status","SSL Provider","Admin Panel Exposed","Forms Protection","Directory Listing","Safe Browsing","Missing Headers","Security Score","Risk Level","Outreach Priority","Estimated Lead Value","Outreach Strategy","Outreach Subject Line","First Touch Pitch","Sales Pitch Hook","Key Security Gaps","Recommendation"
"BIZ-08","Cafe Goodluck","Restaurants & Cafes","Pune","4.3","6200","No","No Website","None","N/A","None","None","N/A","N/A","N/A","N/A","N/A","0","Very High Risk","CRITICAL","$3,500 - $5,000 (Premium Retainer)","Local Business Visit (Claim Google Maps Listing Pitch)","Unsecured local presence for Cafe Goodluck","Your Google Maps profile for Cafe Goodluck is currently unclaimed, meaning anyone can change your phone number or edit your address. We can secure it today.","Profile Hijacking Risk (Unclaimed Google Maps Profile) & Digital Absence","Digital Absence, Unclaimed Google Business Profile","1. Claim Google Business Profile immediately to prevent hijacking. 2. Build a secure, mobile-friendly landing page with HTTPS. 3. Standardize NAP (Name, Address, Phone) details."
"BIZ-20","City Dental Clinic & Implant Center","Healthcare & Clinics","Ahmedabad","4.2","120","No","No Website","None","N/A","None","None","N/A","N/A","N/A","N/A","N/A","0","Very High Risk","CRITICAL","$1,500 - $2,500 (Standard Setup)","Local Business Visit (Claim Google Maps Listing Pitch)","Unsecured local presence for City Dental Clinic & Implant Center","Your Google Maps profile for City Dental Clinic & Implant Center is currently unclaimed, meaning anyone can change your phone number or edit your address. We can secure it today.","Profile Hijacking Risk (Unclaimed Google Maps Profile) & Digital Absence","Digital Absence, Unclaimed Google Business Profile","1. Claim Google Business Profile immediately to prevent hijacking. 2. Build a secure, mobile-friendly landing page with HTTPS. 3. Standardize NAP (Name, Address, Phone) details."
"BIZ-24","Sarojini Saree House","Retail & Shops","Jaipur","3.6","45","No","No Website","None","N/A","None","None","N/A","N/A","N/A","N/A","N/A","0","Very High Risk","CRITICAL","$750 - $1,200 (Essential Setup)","Local Business Visit (Claim Google Maps Listing Pitch)","Unsecured local presence for Sarojini Saree House","Your Google Maps profile for Sarojini Saree House is currently unclaimed, meaning anyone can change your phone number or edit your address. We can secure it today.","Profile Hijacking Risk (Unclaimed Google Maps Profile) & Digital Absence","Digital Absence, Unclaimed Google Business Profile","1. Claim Google Business Profile immediately to prevent hijacking. 2. Build a secure, mobile-friendly landing page with HTTPS. 3. Standardize NAP (Name, Address, Phone) details."
"BIZ-50","Shimla Residency Guest House","Hospitality & Hotels","Shimla","3.5","45","No","No Website","None","N/A","None","None","N/A","N/A","N/A","N/A","N/A","0","Very High Risk","CRITICAL","$750 - $1,200 (Essential Setup)","Local Business Visit (Claim Google Maps Listing Pitch)","Unsecured local presence for Shimla Residency Guest House","Your Google Maps profile for Shimla Residency Guest House is currently unclaimed, meaning anyone can change your phone number or edit your address. We can secure it today.","Profile Hijacking Risk (Unclaimed Google Maps Profile) & Digital Absence","Digital Absence, Unclaimed Google Business Profile","1. Claim Google Business Profile immediately to prevent hijacking. 2. Build a secure, mobile-friendly landing page with HTTPS. 3. Standardize NAP (Name, Address, Phone) details."
"BIZ-30","Coimbatore Grocery Mart","Retail & Shops","Coimbatore","3.7","35","No","No Website","None","N/A","None","None","N/A","N/A","N/A","N/A","N/A","0","Very High Risk","CRITICAL","$750 - $1,200 (Essential Setup)","Local Business Visit (Claim Google Maps Listing Pitch)","Unsecured local presence for Coimbatore Grocery Mart","Your Google Maps profile for Coimbatore Grocery Mart is currently unclaimed, meaning anyone can change your phone number or edit your address. We can secure it today.","Profile Hijacking Risk (Unclaimed Google Maps Profile) & Digital Absence","Digital Absence, Unclaimed Google Business Profile","1. Claim Google Business Profile immediately to prevent hijacking. 2. Build a secure, mobile-friendly landing page with HTTPS. 3. Standardize NAP (Name, Address, Phone) details."
"BIZ-39","Mehta Tax Advisors","Professional Services","Mumbai","3.7","18","No","No Website","None","N/A","None","None","N/A","N/A","N/A","N/A","N/A","0","Very High Risk","CRITICAL","$750 - $1,200 (Essential Setup)","Local Business Visit (Claim Google Maps Listing Pitch)","Unsecured local presence for Mehta Tax Advisors","Your Google Maps profile for Mehta Tax Advisors is currently unclaimed, meaning anyone can change your phone number or edit your address. We can secure it today.","Profile Hijacking Risk (Unclaimed Google Maps Profile) & Digital Absence","Digital Absence, Unclaimed Google Business Profile","1. Claim Google Business Profile immediately to prevent hijacking. 2. Build a secure, mobile-friendly landing page with HTTPS. 3. Standardize NAP (Name, Address, Phone) details."
"BIZ-38","Gupta Chartered Accountants","Professional Services","Pune","3.8","12","No","No Website","None","N/A","None","None","N/A","N/A","N/A","N/A","N/A","0","Very High Risk","CRITICAL","$750 - $1,200 (Essential Setup)","Local Business Visit (Claim Google Maps Listing Pitch)","Unsecured local presence for Gupta Chartered Accountants","Your Google Maps profile for Gupta Chartered Accountants is currently unclaimed, meaning anyone can change your phone number or edit your address. We can secure it today.","Profile Hijacking Risk (Unclaimed Google Maps Profile) & Digital Absence","Digital Absence, Unclaimed Google Business Profile","1. Claim Google Business Profile immediately to prevent hijacking. 2. Build a secure, mobile-friendly landing page with HTTPS. 3. Standardize NAP (Name, Address, Phone) details."
"BIZ-40","Sharma Real Estate Consultants","Professional Services","Jaipur","3.5","8","No","No Website","None","N/A","None","None","N/A","N/A","N/A","N/A","N/A","0","Very High Risk","CRITICAL","$750 - $1,200 (Essential Setup)","Local Business Visit (Claim Google Maps Listing Pitch)","Unsecured local presence for Sharma Real Estate Consultants","Your Google Maps profile for Sharma Real Estate Consultants is currently unclaimed, meaning anyone can change your phone number or edit your address. We can secure it today.","Profile Hijacking Risk (Unclaimed Google Maps Profile) & Digital Absence","Digital Absence, Unclaimed Google Business Profile","1. Claim Google Business Profile immediately to prevent hijacking. 2. Build a secure, mobile-friendly landing page with HTTPS. 3. Standardize NAP (Name, Address, Phone) details."
"BIZ-07","Peter Cat","Restaurants & Cafes","Kolkata","4.5","8900","Yes","Active","http://petercatkolkata.co.in","No","Expired","Let's Encrypt (Expired)","Yes","Unprotected","No","Clean","All Headers Missing","1","Very High Risk","CRITICAL","$3,500 - $5,000 (Premium Retainer)","In-Person Executive Meeting (Deliver Printed Security Briefing)","Urgent: Expired SSL Certificate security warning for Peter Cat","Your website (http://petercatkolkata.co.in) currently triggers a red 'Your Connection is Not Private' warning in browsers. We can restore a secure SSL certificate within 2 hours.","Insecure Protocol / Missing SSL (Active Browser Security Warnings) | Exposed WordPress Admin Panel (Brute Force Vulnerability) | Insecure Webforms (Vulnerable to SQLi and Contact Spam)","No HTTPS Redirect, SSL Status: Expired, Exposed Admin Panel (/wp-admin or /admin), Unprotected Forms","Install valid SSL certificate (e.g. Let's Encrypt) and force HTTPS redirect; Restrict access to admin pages (/wp-admin, /admin) by IP address, change default URL path, and enable MFA; Implement CSRF tokens, secure input sanitization, and captchas on contact forms"
"BIZ-01","Leopold Cafe & Bar","Restaurants & Cafes","Mumbai","4.2","8400","Yes","Active","http://leopoldcafe.com","No","None","None","Yes","Unprotected","No","Clean","X-Frame-Options, CSP, HSTS","1","Very High Risk","CRITICAL","$3,500 - $5,000 (Premium Retainer)","In-Person Executive Meeting (Deliver Printed Security Briefing)","Critical Security Warning: Insecure connection on Leopold Cafe & Bar","Your website (http://leopoldcafe.com) is sending customer passwords and inputs in cleartext without forcing HTTPS, prompting security warnings. We can fix it today.","Insecure Protocol / Missing SSL (Active Browser Security Warnings) | Exposed WordPress Admin Panel (Brute Force Vulnerability) | Insecure Webforms (Vulnerable to SQLi and Contact Spam)","No HTTPS Redirect, SSL Status: None, Exposed Admin Panel (/wp-admin or /admin), Unprotected Forms","Install valid SSL certificate (e.g. Let's Encrypt) and force HTTPS redirect; Restrict access to admin pages (/wp-admin, /admin) by IP address, change default URL path, and enable MFA; Implement CSRF tokens, secure input sanitization, and captchas on contact forms"
